x_t0,y_t0,z_t0,x_next,y_next,z_next
-9.7869288,-15.03852,20.533978,-10.577554445036208,-15.833833887359566,22.044518077786616
-10.577554445036208,-15.833833887359566,22.044518077786616,-11.355438886531125,-16.429680461917076,23.78756516380712
-11.355438886531125,-16.429680461917076,23.78756516380712,-12.0892701579852,-16.752076714946597,25.72235610137287
-12.0892701579852,-16.752076714946597,25.72235610137287,-12.742066045550077,-16.73277148632223,27.7796007539306
-12.742066045550077,-16.73277148632223,27.7796007539306,-13.273642690089657,-16.32191510489629,29.861869204759156
-13.273642690089657,-16.32191510489629,29.861869204759156,-13.644590687889135,-15.501392071177442,31.850541185279834
-13.644590687889135,-15.501392071177442,31.850541185279834,-13.82137150413724,-14.29485885968439,33.61985097453898
-13.82137150413724,-14.29485885968439,33.61985097453898,-13.781606257523336,-12.770216658996178,35.055852709253024
-13.781606257523336,-12.770216658996178,35.055852709253024,-13.518263857303072,-11.032018738941998,36.07542370272343
-13.518263857303072,-11.032018738941998,36.07542370272343,-13.041528027915168,-9.204869945356142,36.63941120138285
-13.041528027915168,-9.204869945356142,36.63941120138285,-12.37771264992095,-7.412518015023327,36.75575816942032
-12.37771264992095,-7.412518015023327,36.75575816942032,-11.565485901259075,-5.758950640755263,36.47225028927794
-11.565485901259075,-5.758950640755263,36.47225028927794,-10.650445012193638,-4.316491553232178,35.86230379957938
-10.650445012193638,-4.316491553232178,35.86230379957938,-9.67941245671065,-3.122626036780964,35.008976897095856
-9.67941245671065,-3.122626036780964,35.008976897095856,-8.695633281136097,-2.184070846408199,33.991657856569525
-8.695633281136097,-2.184070846408199,33.991657856569525,-7.7355389407137505,-1.4849028240212871,32.87768757319999
-7.7355389407137505,-1.4849028240212871,32.87768757319999,-6.827190637824014,-0.9955789031014854,31.718965071890146
-6.827190637824014,-0.9955789031014854,31.718965071890146,-5.990125543080389,-0.6807171152659671,30.55225325818083
-5.990125543080389,-0.6807171152659671,30.55225325818083,-5.236159489363594,-0.5047231624672776,29.4015527562207
-5.236159489363594,-0.5047231624672776,29.4015527562207,-4.570703122079179,-0.43523826718054487,28.28119115103294
-4.570703122079179,-0.43523826718054487,28.28119115103294,-3.994243909273954,-0.44483646964906864,27.19877276751087
-3.994243909273954,-0.44483646964906864,27.19877276751087,-3.50376588953909,-0.5115169551846014,26.157586172521114
-3.50376588953909,-0.5115169551846014,26.157586172521114,-3.093983625373845,-0.6184734938400582,25.15837299670779
-3.093983625373845,-0.6184734938400582,25.15837299670779,-2.7583424783207966,-0.7534971201941321,24.2005248263483
-2.7583424783207966,-0.7534971201941321,24.2005248263483,-2.489784577532147,-0.908244798766544,23.282836490300554
-2.489784577532147,-0.908244798766544,23.282836490300554,-2.281305157921463,-1.0775108274892395,22.403947934411057
-2.281305157921463,-1.0775108274892395,22.403947934411057,-2.126334546293978,-1.2585720596719006,21.562585106835613
-2.126334546293978,-1.2585720596719006,21.562585106835613,-2.0189828881107865,-1.4506369542351245,20.7576818520882
-2.0189828881107865,-1.4506369542351245,20.7576818520882,-1.9541818589748154,-1.6544046530315892,19.988438951770522
-1.9541818589748154,-1.6544046530315892,19.988438951770522,-1.9277526877881805,-1.871727555805335,19.25435645032982
-1.9277526877881805,-1.871727555805335,19.25435645032982,-1.936424330723518,-2.1053648063599173,18.555261518544437
-1.936424330723518,-2.1053648063599173,18.555261518544437,-1.9778203640176173,-2.3588118196386394,17.891345335771415
-1.9778203640176173,-2.3588118196386394,17.891345335771415,-2.050428464030036,-2.636190635955975,17.263217512587154
-2.050428464030036,-2.636190635955975,17.263217512587154,-2.1535623170422293,-2.9421863262457397,16.67198425037936
-2.1535623170422293,-2.9421863262457397,16.67198425037936,-2.2873224057907806,-3.282015123740451,16.11935582238269
-2.2873224057907806,-3.282015123740451,16.11935582238269,-2.452559227127802,-3.6614098617008666,15.607789383519437
-2.452559227127802,-3.6614098617008666,15.607789383519437,-2.650839924627555,-4.086607176796233,15.140674059374245
-2.650839924627555,-4.086607176796233,15.140674059374245,-2.8844168502939813,-4.564318320938649,14.722566263917205
